Time [HH:mm:ss], seconds [.ffff], tick [], inc time [s], xAccel [m/s/s], yAccel [m/s/s], zAccel [m/s/s]
12:15:43,0.5,0,0.0,-0.0847209,0.0474889,-9.9633039
12:15:43,0.51,20,0.009765625,-0.0920606,0.125027,-9.8909136
12:15:43,0.52,40,0.01953125,-0.0039842,-0.0082417,-9.7367924
12:15:43,0.53,60,0.029296875,-0.0088773,0.0184121,-9.7344572
12:15:43,0.54,80,0.0390625,-0.0529155,0.0814118,-9.7064352
12:15:43,0.549,100,0.048828125,0.0082486,0.0281044,-9.6714076
12:15:43,0.559,120,0.05859375,0.0106952,-0.0252031,-9.5896767
12:15:43,0.569,140,0.068359375,0.1354701,0.0450658,-9.7111055
12:15:43,0.579,160,0.078125,0.0351609,-0.0542799,-9.8442102
12:15:43,0.588,180,0.087890625,0.022928,0.1516808,-9.9049246
12:15:43,0.598,200,0.09765625,0.1158976,0.015989,-9.8231937
12:15:43,0.608,220,0.107421875,0.2210999,0.0959502,-9.8488805
12:15:43,0.618,240,0.1171875,0.2113136,0.0281044,-9.7461331
12:15:43,0.627,260,0.126953125,0.2798175,-0.0760875,-9.7321221
12:15:43,0.637,280,0.13671875,0.3385351,0.1710653,-9.6597318
12:15:43,0.647,300,0.146484375,-0.0284499,-0.0227801,-9.7041
12:15:43,0.657,320,0.15625,0.1917411,-0.0373185,-9.7461331
12:15:43,0.666,340,0.166015625,0.2284396,-0.2069331,-9.6130284
12:15:43,0.676,360,0.17578125,0.3605542,0.1880268,-9.8465454
12:15:43,0.686,380,0.185546875,-0.0284499,0.2025652,-10.0940734
12:15:43,0.696,400,0.1953125,0.0106952,0.234065,-9.9002543
12:15:43,0.706,420,0.205078125,0.1721686,-0.0373185,-9.4775885
12:15:43,0.715,440,0.21484375,0.022928,-0.1075874,-9.6130284
12:15:43,0.725,460,0.224609375,0.1036647,-0.0397415,-9.8442102
12:15:43,0.735,480,0.234375,0.3825733,-0.2214715,-9.7554737
12:15:43,0.745,500,0.244140625,0.5049016,-0.1584718,-9.414539
12:15:43,0.754,520,0.25390625,0.2333327,-0.129395,-9.6480559
12:15:43,0.764,540,0.263671875,-0.2266217,0.3818721,-10.1758043
12:15:43,0.774,560,0.2734375,-0.3465035,0.0596042,-9.7087704
