Time [HH:mm:ss], seconds [.ffff], tick [], inc time [s], xAccel [m/s/s], yAccel [m/s/s], zAccel [m/s/s]
11:01:57,0.5,0,0.0,0.1990808,0.0014506,-9.8348695
11:01:57,0.504,8,0.00390625,0.1941877,0.0038737,-9.8301992
11:01:57,0.508,16,0.0078125,0.1892945,0.0062967,-9.8231937
11:01:57,0.512,24,0.01171875,0.2064205,-0.0033955,-9.8395399
11:01:57,0.516,32,0.015625,0.1966342,-0.0106647,-9.8488805
11:01:57,0.52,40,0.01953125,0.2137602,-0.0058186,-9.8372047
11:01:57,0.524,48,0.0234375,0.1966342,-0.0179339,-9.8301992
11:01:57,0.528,56,0.02734375,0.1892945,-0.0130878,-9.8442102
11:01:57,0.532,64,0.03125,0.2064205,-0.0106647,-9.8348695
11:01:57,0.536,72,0.03515625,0.1941877,-0.0082417,-9.827864
11:01:57,0.54,80,0.0390625,0.1941877,0.0014506,-9.8395399
11:01:57,0.543,88,0.04296875,0.1941877,0.0014506,-9.8161882
11:01:57,0.547,96,0.046875,0.1892945,-0.0082417,-9.8301992
11:01:57,0.551,104,0.05078125,0.1917411,0.0014506,-9.8372047
11:01:57,0.555,112,0.0546875,0.186848,-0.0082417,-9.8325344
11:01:57,0.559,120,0.05859375,0.1941877,-0.0276262,-9.8372047
11:01:57,0.563,128,0.0625,0.2064205,-0.0252031,-9.8348695
11:01:57,0.567,136,0.06640625,0.186848,-0.020357,-9.8488805
11:01:57,0.571,144,0.0703125,0.1990808,-0.0179339,-9.8512157
11:01:57,0.575,152,0.07421875,0.1941877,-0.0106647,-9.8301992
11:01:57,0.579,160,0.078125,0.1844014,-0.0155109,-9.8208585
11:01:57,0.583,168,0.08203125,0.186848,-0.0058186,-9.8325344
11:01:57,0.586,176,0.0859375,0.1892945,-0.0106647,-9.8372047
11:01:57,0.59,184,0.08984375,0.1844014,0.0111429,-9.8372047
11:01:57,0.594,192,0.09375,0.1795083,0.0014506,-9.8301992
11:01:57,0.598,200,0.09765625,0.1917411,-0.0033955,-9.8255288
11:01:57,0.602,208,0.1015625,0.1941877,-0.0130878,-9.8348695
11:01:57,0.606,216,0.10546875,0.1917411,-0.0155109,-9.8395399
11:01:57,0.61,224,0.109375,0.1844014,-0.0155109,-9.841875
11:01:57,0.614,232,0.11328125,0.1941877,-0.0130878,-9.8512157
11:01:57,0.618,240,0.1171875,0.1770617,-0.0106647,-9.8325344
11:01:57,0.622,248,0.12109375,0.1844014,0.0014506,-9.8372047
11:01:57,0.625,256,0.125,0.1795083,0.0087198,-9.8442102
